ID,PurchaseOrder,PurchaseOrderType,PurchaseOrderDate,Supplier,CompanyCode,PurchasingOrganization,PurchasingGroup,PurchasingProcessingStatus,ReleaseCode,DocumentCurrency,ExchangeRate,PaymentTerms,IncotermsClassification,IncotermsTransferLocation,ApprovalStatus,TotalAmount,DeliveryDate,SupplyingPlant,HeaderNote,createdAt,createdBy,modifiedAt,modifiedBy
8b788f4d-6931-4183-9f9b-fbe9b441e378,1100000020,Z001,2022-12-14,1000001,1000,1000,101,02,,VND,1000.0,Z000,CFR,WH1,1,59304.66,2026-02-27,1000,Follow contract terms,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
c9e488b7-415a-4d74-879c-7d95190a77e5,1100000037,Z001,2023-08-15,1000001,1000,1000,100,05,A,VND,1000.0,,CFR,PORT,3,59393.21,2026-01-18,1000,3 by purchasing department,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
3798bbf0-ab0d-4712-b914-5faf7907a231,1100000067,Z001,2023-09-20,1000001,1000,1000,001,05,C,SGD,1000.0,0002,CFR,,1,82307.39,2026-02-25,1000,Deliver before month end,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
30cb333d-6ff6-435d-945d-89af9fc353dc,1100000081,Z001,2023-09-25,1000001,1000,1000,100,05,C,SGD,1000.0,Z000,CFR,PORT,1,72835.97,2026-02-15,4000,Quality inspection required upon receipt,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
03313e95-5803-4e70-9868-b3b2c1fdcb88,1100000026,Z001,2023-07-26,1000001,1000,1000,100,02,,VND,1.0,Z000,FOB,WH1,1,70685.99,2026-01-09,1000,Partial delivery allowed,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
f95bd1af-5d29-44eb-bedc-399b1659f106,1100000097,Z001,2023-10-22,1000001,1000,1000,100,02,,SGD,1000.0,Z000,CFR,PORT,1,42392.34,2026-03-05,4000,Partial delivery allowed,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
e0806747-e8b7-44bc-99e9-fd5efaf15c39,1100000018,Z001,2022-12-02,1000001,1000,1000,001,02,,VND,0.05599,,CFR,,1,89951.63,2026-03-01,1000,Standard procurement order,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
165c046b-5717-47d8-9c9d-8c7da0e99a56,1100000015,Z001,2022-11-30,1000001,1000,1000,101,02,C,VND,1000.0,Z000,,WH1,1,10697.62,2026-02-06,1000,Handle with priority,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
986e1a15-9f7a-423f-94a8-58eadec37fa1,1100000021,Z001,2022-12-21,1000001,1000,1000,001,05,A,SGD,1.0,,FOB,PORT,3,56056.62,2025-12-28,4000,Deliver before month end,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
0e69d109-bd39-4381-9893-9e8f85b82cf3,1100000052,Z001,2023-08-29,1000001,1000,1000,001,02,C,SGD,1.0,Z000,CFR,,1,4581.91,2026-01-01,4000,Quality inspection required upon receipt,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
d0a246b9-5358-4bab-a913-f041ce71f306,1100000092,Z001,2023-10-19,2000000051,1000,1000,100,05,A,VND,0.05599,,FOB,PORT,1,93249.0,2025-12-27,1000,Handle with priority,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
